Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Label
-1.248343,-1.615585,-1.610578,-1.672871,-1.713508,-1.872432,-2.409608,-2.305494,2.114938,-0.413445,-0.414586,-0.38732,-0.549928,-0.238388,-0.264964,-0.592971,-0.666448,0.491083,-0.317178,-0.265245,-0.272077,-0.430179,0.084602,0.003779,-0.649326,-0.723756,Plasma_Membrane
-1.226355,-1.224572,-1.356628,-1.226604,-1.166955,-1.328468,-1.667473,-1.615286,1.515357,-0.588017,-0.570517,-0.616223,-0.624642,-0.308018,-0.319356,-0.539315,-0.572389,0.518482,-0.669137,-0.664697,-0.775208,-0.811765,-0.503596,-0.518217,-0.939116,-1.049305,Mitochondria
-1.194688,-1.326673,-1.365453,-0.679505,-0.755368,-0.306467,-1.615293,-1.331803,1.066737,-0.647715,-0.506222,-0.697961,-0.186912,0.288255,0.336572,0.051194,-0.160114,0.059239,-0.581023,-0.307099,-0.100065,0.796825,2.428108,2.706549,2.385857,1.842656,Late_Endosomes
-1.137572,-0.740138,-1.26962,-0.491891,-0.003291,0.320572,-0.200528,-0.22316,0.249195,-0.279571,-0.21709,-0.299243,0.036943,0.220073,0.299847,0.192429,0.109426,-0.105456,-0.27527,-0.153862,-0.283888,0.312168,0.645984,0.944613,0.83316,0.681339,Late_Endosomes
-1.135937,-1.146888,-1.256864,-1.253807,-1.336455,-1.366332,-1.749063,-1.846707,1.609479,-0.470157,-0.52346,-0.567943,-0.656451,-0.766442,-0.823733,-0.820123,-0.838691,0.783125,-0.539422,-0.647164,-0.750957,-0.909421,-1.112221,-1.227274,-1.413799,-1.514076,Mitochondria
-1.080209,-1.082031,-1.25257,-0.563558,-0.057799,-0.503994,-0.785407,-0.85299,0.694782,0.525733,0.43035,0.643273,0.335836,0.18002,0.011383,0.512638,0.731001,-0.439692,0.488752,0.361122,0.517014,0.197767,-0.020805,-0.029278,0.349735,0.471068,Lysosome
-1.046151,-1.183557,-1.309033,-1.418884,-1.880341,-2.180663,-2.278809,-2.338675,2.110998,-0.67509,-0.820727,-0.976131,-1.148198,-1.442378,-1.604477,-1.66175,-1.767625,1.517877,-0.745026,-0.922886,-1.112352,-1.374887,-1.733318,-1.812581,-1.663341,-1.623692,Peroxisomes
-1.041273,-1.375792,-1.295869,-0.663443,-0.573316,-0.261375,-1.145567,-1.220648,0.910051,0.42708,0.395878,0.260509,0.055644,0.04309,-0.225169,0.089618,0.161365,-0.08954,0.426745,0.364858,0.20342,-0.024966,0.031878,-0.243982,0.118348,0.035903,Lysosome
-1.019914,-1.037371,-1.472312,-1.54794,-1.134653,-1.216498,-2.748164,-2.586849,1.917439,-0.178878,-0.480332,-0.508794,-0.209314,0.731116,0.879279,-0.295306,-0.360763,-0.014719,0.606077,0.330779,0.899676,2.143364,6.093053,6.940042,3.74929,2.947027,Lysosome
-1.01744,-1.065239,-1.112303,-0.941054,-0.94825,-0.891729,-1.111126,-1.177407,1.116888,-0.37129,-0.369353,-0.440935,-0.329478,-0.154384,-0.180052,-0.230464,-0.229401,0.260859,-0.447551,-0.483964,-0.620141,-0.555913,-0.501651,-0.637998,-0.902376,-0.942684,Mitochondria
